대분류,기능명,기능 설명,접근 경로·UI 위치,연동·데이터,발표 활용 팁
센서 파이프라인,4단계 기술·시나리오 개요,SAR→UAV→FMCW→드론 흐름 카드,/sensor-pipeline,클라이언트,아키텍처 한 장 요약
센서 파이프라인,단계 레일·설명,단계별 기술/웹 상세·메타 정보,/sensor-pipeline,SENSOR_PIPELINE_STEPS,단계별로 확대 설명
센서 파이프라인,자동 순환,4.5초 간격 자동 단계 전환 토글,/sensor-pipeline 상단,—,무인 시연 모드
센서 파이프라인,FMCW 라이브 패널,fmcw 단계에서 스냅샷 연동 패널,/sensor-pipeline?step=fmcw,GET /map/radar/snapshot,백엔드 연동 구간 명시
센서 파이프라인,드론 데모 영상,파이프라인 내 샘플 EO/IR 루프,/sensor-pipeline?step=drone,정적 미디어,네트워크 없이 안정 시연
카메라 모니터,장치 열거·선택,enumerateDevices로 카메라 목록,/monitor,브라우저 MediaDevices,현장 카메라 피드 연결
카메라 모니터,실시간 미리보기,getUserMedia 스트림 재생,/monitor,브라우저 API,저지연 모니터링 데모
드론 EO/IR 식별,전용 페이지,EO vs IR 설명·데이터량 표·데모 영상,/drone-eo-ir,SensorStagePipelineFrame,근접 식별 전용 내러티브
드론 EO/IR 식별,센서 파이프라인 교차 링크,동일 계열 단계로 이동,본문 링크,/sensor-pipeline?step=drone,제품 일관성 강조
백엔드·인프라,REST API 베이스,Vite 프록시·환경변수 기준 API URL,frontend 설정,getApiBaseUrl(),배포·데모 환경 분리 설명
데이터 모델,부대 제대 구분,소대~군단·특수임무부대 등 레벨,지도·DB 시드,Prisma·시드,조직 구조 반영
보안,보호 라우트,미로그인 시 로그인으로 리다이렉트,RequireAuth,—,운용 시스템 기본 보안
